ref,value,footprint,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
BT1,BATTERY_CR2032,BATT_CR2032_MPD,Keystone,103,digi,103K-ND,,,,,,
R233,100,SM0805,PANASONIC,ERJ-6ENF1000V,digi,P100CTR-ND,,,,,,
R234,1500,SM0805,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R235,1500,SM0805,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R240,2700,SM0805,PANASONIC,ERJ-6ENF2701V,digi,P2.70KCCT-ND,,,,,,
R241,500K,SM0805,ECG,ERA6AEB4993V,DIGI,P499KDACT-ND,,,,,,
R242,10k,SM0805,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R243,100,SM0805,PANASONIC,ERJ-6ENF1000V,digi,P100CTR-ND,,,,,,
R244,1500,SM0805,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R245,1500,SM0805,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R250,2700,SM0805,PANASONIC,ERJ-6ENF2701V,digi,P2.70KCCT-ND,,,,,,
R251,500K,SM0805,ECG,ERA6AEB4993V,DIGI,P499KDACT-ND,,,,,,
R252,10k,SM0805,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R253,100,SM0805,PANASONIC,ERJ-6ENF1000V,digi,P100CTR-ND,,,,,,
R254,1500,SM0805,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R255,1500,SM0805,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R260,2700,SM0805,PANASONIC,ERJ-6ENF2701V,digi,P2.70KCCT-ND,,,,,,
R261,500K,SM0805,ECG,ERA6AEB4993V,DIGI,P499KDACT-ND,,,,,,
R262,10k,SM0805,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R263,100,SM0805,PANASONIC,ERJ-6ENF1000V,digi,P100CTR-ND,,,,,,
R264,1500,SM0805,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R265,1500,SM0805,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R270,2700,SM0805,PANASONIC,ERJ-6ENF2701V,digi,P2.70KCCT-ND,,,,,,
R271,500K,SM0805,ECG,ERA6AEB4993V,DIGI,P499KDACT-ND,,,,,,
R272,10k,SM0805,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R273,100,SM0805,PANASONIC,ERJ-6ENF1000V,digi,P100CTR-ND,,,,,,
R274,1500,SM0805,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R275,1500,SM0805,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R280,2700,SM0805,PANASONIC,ERJ-6ENF2701V,digi,P2.70KCCT-ND,,,,,,
R281,500K,SM0805,ECG,ERA6AEB4993V,DIGI,P499KDACT-ND,,,,,,
R282,10k,SM0805,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R283,100,SM0805,PANASONIC,ERJ-6ENF1000V,digi,P100CTR-ND,,,,,,
R284,1500,SM0805,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R285,1500,SM0805,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R290,2700,SM0805,PANASONIC,ERJ-6ENF2701V,digi,P2.70KCCT-ND,,,,,,
R291,500K,SM0805,ECG,ERA6AEB4993V,DIGI,P499KDACT-ND,,,,,,
R292,10k,SM0805,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R293,100,SM0805,PANASONIC,ERJ-6ENF1000V,digi,P100CTR-ND,,,,,,
R294,1500,SM0805,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R295,1500,SM0805,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R300,2700,SM0805,PANASONIC,ERJ-6ENF2701V,digi,P2.70KCCT-ND,,,,,,
R301,500K,SM0805,ECG,ERA6AEB4993V,DIGI,P499KDACT-ND,,,,,,
R302,10k,SM0805,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R303,100,SM0805,PANASONIC,ERJ-6ENF1000V,digi,P100CTR-ND,,,,,,
R304,1500,SM0805,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R305,1500,SM0805,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R310,2700,SM0805,PANASONIC,ERJ-6ENF2701V,digi,P2.70KCCT-ND,,,,,,
R311,500K,SM0805,ECG,ERA6AEB4993V,DIGI,P499KDACT-ND,,,,,,
R312,10k,SM0805,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R313,100,SM0805,PANASONIC,ERJ-6ENF1000V,digi,P100CTR-ND,,,,,,
R314,1500,SM0805,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R315,1500,SM0805,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R320,39k,SM0805,ECG,ERA6AEB393V,digi,P39KDACT-ND,,,,,,
R321,10k,SM0805,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R322,10k,SM0805,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R323,100,SM0805,PANASONIC,ERJ-6ENF1000V,digi,P100CTR-ND,,,,,,
R324,1500,SM0805,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R325,1500,SM0805,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R351,1M,SM0805,ECG,ERA-6AEB105V,digi,P1MDACT-ND,,,,,,
R352,1k,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R401,OPT,SIL-2,DNP,DNP,DNP,DNP,,,,,,
R402,0R,SIL-2,0R,jumperwire,0R,jumperwire,,,,,,
R403,20R,SM0805,Panasonic,ECG ERJ-6ENF20R0V,digi,ERJ-6ENF20R0V,,,,,,
R404,1K,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R405,1K,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R406,20R,SM0805,Panasonic,ECG ERJ-6ENF20R0V,digi,ERJ-6ENF20R0V,,,,,,
R407,20R,SM0805,Panasonic,ECG ERJ-6ENF20R0V,digi,ERJ-6ENF20R0V,,,,,,
R408,1K,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R409,1K,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R410,20R,SM0805,Panasonic,ECG ERJ-6ENF20R0V,digi,ERJ-6ENF20R0V,,,,,,
R411,20R,SM0805,Panasonic,ECG ERJ-6ENF20R0V,digi,ERJ-6ENF20R0V,,,,,,
R412,1K,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R413,1K,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R414,20R,SM0805,Panasonic,ECG ERJ-6ENF20R0V,digi,ERJ-6ENF20R0V,,,,,,
R415,20R,SM0805,Panasonic,ECG ERJ-6ENF20R0V,digi,ERJ-6ENF20R0V,,,,,,
R416,1K,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R417,1K,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R418,20R,SM0805,Panasonic,ECG ERJ-6ENF20R0V,digi,ERJ-6ENF20R0V,,,,,,
R419,20R,SM0805,Panasonic,ECG ERJ-6ENF20R0V,digi,ERJ-6ENF20R0V,,,,,,
R420,1K,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R421,1K,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R422,20R,SM0805,Panasonic,ECG ERJ-6ENF20R0V,digi,ERJ-6ENF20R0V,,,,,,
R423,20R,SM0805,Panasonic,ECG ERJ-6ENF20R0V,digi,ERJ-6ENF20R0V,,,,,,
R424,1K,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R425,1K,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R426,20R,SM0805,Panasonic,ECG ERJ-6ENF20R0V,digi,ERJ-6ENF20R0V,,,,,,
R427,1K,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R472,10k,SM0805,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R473,120,SM0805,ECG,ERA6AEB121V,DIGI,P120DACT-ND,,,,,,
R601,100,SM0805,PANASONIC,ERJ-6ENF1000V,digi,P100CTR-ND,,,,,,
R602,2700,SM0805,PANASONIC,ERJ-6ENF2701V,digi,P2.70KCCT-ND,,,,,,
R603,2700,SM0805,PANASONIC,ERJ-6ENF2701V,digi,P2.70KCCT-ND,,,,,,
R604,100,SM0805,PANASONIC,ERJ-6ENF1000V,digi,P100CTR-ND,,,,,,
R605,100,SM0805,PANASONIC,ERJ-6ENF1000V,digi,P100CTR-ND,,,,,,
R606,2700,SM0805,PANASONIC,ERJ-6ENF2701V,digi,P2.70KCCT-ND,,,,,,
R607,2700,SM0805,PANASONIC,ERJ-6ENF2701V,digi,P2.70KCCT-ND,,,,,,
R608,100,SM0805,PANASONIC,ERJ-6ENF1000V,digi,P100CTR-ND,,,,,,
R609,100,SM0805,PANASONIC,ERJ-6ENF1000V,digi,P100CTR-ND,,,,,,
R610,2700,SM0805,PANASONIC,ERJ-6ENF2701V,digi,P2.70KCCT-ND,,,,,,
R611,2700,SM0805,PANASONIC,ERJ-6ENF2701V,digi,P2.70KCCT-ND,,,,,,
R612,100,SM0805,PANASONIC,ERJ-6ENF1000V,digi,P100CTR-ND,,,,,,
R701,1k,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R702,1k,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R703,1k,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R1001,1k,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
R1002,1k,SM0805,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,
S1,DISPLAY_BL,DISPLAY_4x20_BL,,,,,,,,
SW1,SW_PUSH,TL-1105,E-SWITCH,TL1105F160Q,DIGI,EG1827-ND,,,,,,
SW2,SW_PUSH,TL-1105,E-SWITCH,TL1105F160Q,DIGI,EG1827-ND,,,,,,
TEST2,TEST-C-C,SIL-2,dnp,dnp,dnp,dnp,,,,,,
U1,STM32F407VG,TQFP_100,ST,STM32F407VGT6,digi,497-11605-ND,,,,,,
U2,NUF2101MT1G,SOT-457,on-semi,NUF2101MT1G,DIGI,NUF2101MT1GOSCT-ND,,,,,,
U3,LM2937,SOT223,TI,LM2937IMP-3.3/NOPB,DIGI,LM2937IMP-3.3/NOPBCT-ND,,,,,,
U4,ITEAD_HC-0X,ITEAD_HC-05,,,,,,,,
U5,SKQUCAA010,SKQUCAA010,alps,SKQUCAA010,newark,59M1983,,,,,,
U101,MAX9926/9927,maxim-10-QSOP16,maxim,MAX9926UAEE+,digi,MAX9926UAEE+-ND,mouser,700-MAX9926UAEE,--,-,other,more,stuff,,
U201,LMV324IDR,SO14N,TI,LMV324IDR,DIGI,296-9569-1-ND,,,,,,
U202,LMV324IDR,SO14N,TI,LMV324IDR,DIGI,296-9569-1-ND,,,,,,
U203,LMV324IDR,SO14N,TI,LMV324IDR,DIGI,296-9569-1-ND,,,,,,
U351,FT232RL,ssop-28,ftdi,FT232RL,DIGI,768-1007-2-ND,,,,,,
U471,SN65HVD230,SO8E,TI,SN65HVD230QD,digi,296-13123-5-ND,,,,,,
U601,TC4427,SOIC8-DFN,MICROCHIP,TC4427AVOA,SEEED,NA,MOUSER,579-TC4427AVOA,,,,,
U602,TC4427,SOIC8-DFN,MICROCHIP,TC4427AVOA,SEEED,NA,MOUSER,579-TC4427AVOA,,,,,
U603,TC4427,SOIC8-DFN,MICROCHIP,TC4427AVOA,SEEED,NA,MOUSER,579-TC4427AVOA,,,,,
U1001,LM2596,DPAK5,linear,2596-5.0,digi,LM2596S-5.0/NOPB-ND,sky-macau.com,6841999795,,,,,
U1101,MAX31855KASA,SO8E,DALLAS SEMI,MAX31855KASA+	,DIGI,MAX31855KASA+-ND,,,,,,
U1201,MAX31855KASA,SO8E,DALLAS SEMI,MAX31855KASA+	,DIGI,MAX31855KASA+-ND,,,,,,
U1301,MAX31855KASA,SO8E,DALLAS SEMI,MAX31855KASA+	,DIGI,MAX31855KASA+-ND,,,,,,
U1401,MAX31855KASA,SO8E,DALLAS SEMI,MAX31855KASA+	,DIGI,MAX31855KASA+-ND,,,,,,
W1,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W2,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W3,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W4,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W5,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W6,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W7,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W8,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W9,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W10,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W11,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W12,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W13,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W14,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W15,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W16,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W17,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W18,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W19,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W20,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W21,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W22,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W27,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W28,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W29,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W30,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W31,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W32,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W33,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W34,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W35,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W36,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W37,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W38,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W39,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W40,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W41,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W42,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W43,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W44,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W45,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W46,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W47,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W48,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W49,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W50,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W51,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W52,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W53,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W54,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W55,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W56,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W57,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W58,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W59,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W60,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W61,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W62,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W63,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W64,TEST,SM0805_jumper,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W701,TEST,SM0805_jumper,DNP,DNP,DNP,DNP,,,,,,
W1002,JMP,SIL-2,DNP,DNP,DNP,DNP,,,,,,
W1003,JMP,SIL-2,DNP,DNP,DNP,DNP,,,,,,
X1,CRYSTAL,HC-49V,CTS,ATS08A-E,digi,CTX1054-ND,,,,,,
X2,CRYSTAL,MC-306,epson,MC-306 32.768K-E3:ROHS,digi,SER2417CT-ND,,,,,,
X161,CRYSTAL,Q_49U3HMS,Fox Electronics,FOXSDLF/040,digi,631-1005-1-ND,,,,,,
