Reference, Value, Footprint, Datasheet, MFG,MFG#, VEND1,VEND1#, VEND2,VEND2#
"R24","10R","rusEFI_LIB:R_0805","","Stackpole,RMCF0805JG10R0","DIGI,RMCF0805JG10R0CT-ND",","
"C71","1000pF","rusEFI_LIB:C_0805","","avx,08051C102KAT2A","DIGI,478-1352-1-ND",","
"C73","330pF","rusEFI_LIB:C_0805","","Kemet,C0805C331J1GACTU","DIGI,399-1131-1-ND",","
"R26","0R015","Resistors_SMD:R_1206_HandSoldering","","Panasonic,ERJ-8CWFR015V","DIGI,P0.015BVCT-ND",","
"C65","4700pF","rusEFI_LIB:C_0805","","TDK,C2012C0G2A472J125AA","DIGI,445-2324-1-ND",","
"D16","STPS2H100UY","Diodes_SMD:D_SMB","","ST,STPS2H100UY","DIGI,497-11093-1-ND",","
"C67","4700pF","rusEFI_LIB:C_0805","","TDK,C2012C0G2A472J125AA","DIGI,445-2324-1-ND",","
"U4","MC33816","rusEFI_LIB:HTQFP-64-1EP_10x10mm_Pitch0.5mm_ThermalPad_for_MC33816","","FreeScale,MC33816AE","Mouser,841-MC33816AE",","
"C10","0.1uF","rusEFI_LIB:C_0805","","AVX,08055C104MAT2A","DIGI,478-3351-1-ND",","
"C11","0.1uF","rusEFI_LIB:C_0805","","AVX,08055C104MAT2A","DIGI,478-3351-1-ND",","
"C12","4.7uF","rusEFI_LIB:C_0805","","Taiyo Yuden,TMK212AB7475KG-T","DIGI,587-2990-1-ND",","
"C13","0.1uF","rusEFI_LIB:C_0805","","AVX,08055C104MAT2A","DIGI,478-3351-1-ND",","
"C8","0.1uF","rusEFI_LIB:C_0805","","AVX,08055C104MAT2A","DIGI,478-3351-1-ND",","
"C9","1uF","rusEFI_LIB:C_0805","","Yageo,CC0805KKX7R8BB105","DIGI,311-1456-1-ND",","
"C41","0.33uF","rusEFI_LIB:C_0805","","Yageo,CC0805KKX7R8BB334","DIGI,311-3385-1-ND",","
"C64","0.33uF","rusEFI_LIB:C_0805","","Yageo,CC0805KKX7R8BB334","DIGI,311-3385-1-ND",","
