; Unit System: English
; Time: seconds
; Intake manifold absolute pressure: PSI
; Engine RPM: RPM
; Ignition timing advance for #1 cylinder: 
; Absolute throttle position: %
;
Time,Intake manifold absolute pressure,Time,Engine RPM,Time,Ignition timing advance for #1 cylinder,Time,Absolute throttle position
33.2917968,4.641208,33.3566696,2103.25,33.4345982,40.5,34.2306418,16.47059
33.7337051,4.641208,33.9709256,2084,34.0737443,39.5,34.70978,16.47059
34.4226647,4.641208,34.5088476,2062.25,34.5967772,39.5,35.1498269,16.47059
34.8708546,4.641208,34.960863,2057.5,35.0539279,39.5,35.532812,16.47059
35.2927044,4.786245,35.3768068,2060.5,35.4477208,39.5,35.958827,16.47059
35.7098578,4.786245,35.7828043,2044,35.8758128,39.5,36.4067654,16.47059
36.1258538,5.076321,36.2247879,2021.25,36.3089109,39,36.8341071,16.47059
36.5839147,5.076321,36.6788872,2041,36.7628904,39,37.2758978,13.33333
37.0228232,4.641208,37.1109496,1944.25,37.1868793,8.5,37.7058915,13.33333
37.4358333,3.770981,37.5239041,1947.5,37.6228284,21.5,38.127916,13.33333
37.8959326,3.770981,37.9698752,1895.25,38.0438486,22.5,38.5579712,13.33333
38.3109538,3.916019,38.4022931,1868,38.4798747,22.5,38.943997,13.33333
38.7049026,3.916019,38.7838964,1820,38.8609767,22.5,39.3859503,13.33333
39.1249742,4.061057,39.2010014,1679.5,39.308953,22.5,39.8239028,13.33333
39.5589584,4.206094,39.6318933,1577,39.7259605,22.5,40.2480171,13.33333
40.0029672,4.351132,40.0979925,1452.25,40.1720027,22.5,40.6790475,13.33333
40.4259258,4.786245,40.4989899,1331.5,40.5900837,17.5,41.0840389,13.33333
40.8449521,5.366396,40.9279297,1296.25,40.9940238,7.5,41.5090574,13.33333
41.2320464,5.366396,41.3240786,1270,41.4259524,6,41.9530654,17.64706
41.7041105,5.511434,41.7831206,1261.75,41.8791005,28.5,42.3860778,18.43137
42.1211051,7.832038,42.1962128,1275.5,42.3000755,13.5,42.8850602,20
42.6085368,10.0076,42.7235157,1333.5,42.7960161,10.5,43.3091215,20.39216
43.0570794,11.02287,43.1501099,1429.75,43.2250781,9.5,43.7601405,20.39216
43.514148,10.87783,43.5853096,1538.25,43.6731459,12,44.1694681,20.39216
43.914118,10.29768,43.9971751,1590.5,44.1001336,17.5,44.541057,20.39216
44.3160427,10.0076,44.3892394,1682.25,44.4741844,19,44.9961965,19.21569
44.714189,8.99234,44.8223528,1771,44.9131873,28.5,45.4433927,19.21569
45.1961734,7.687,45.2991396,1821.5,45.3761583,32,45.911089,19.21569
45.6311798,7.541962,45.7252052,1842.5,45.82231,32.5,46.3022226,18.03922
46.0591581,7.251887,46.1301076,1886.5,46.2281953,34,46.7262197,17.2549
46.4722666,6.38166,46.5572047,1933.75,46.6321952,35,47.1592299,14.90196
46.9002234,5.511434,46.9862079,1941.25,47.0732505,38,47.5832562,13.33333
47.3252335,4.206094,47.3992405,1875.75,47.5002667,22.5,47.9993283,16.47059
47.7482872,3.335868,47.8242874,1879.75,47.905322,22.5,48.386393,18.82353
48.1662396,4.931283,48.2312949,1928.5,48.3183846,35.5,48.7794349,18.82353
48.5593867,6.671736,48.6293259,1897.75,48.6924402,18.5,49.32249,19.21569
48.9534005,7.396924,49.0534498,1880.25,49.1884742,12.5,49.92746,13.72549
49.6683629,7.832038,49.7474633,1949,49.8325872,20,50.3245141,14.11765
50.0994811,4.641208,50.1655184,1860.5,50.2314686,22.5,50.7235743,19.60784
50.4835251,5.366396,50.5585766,1958.75,50.6384889,34.5,51.1405301,14.90196
50.8956073,7.832038,50.9835987,1920,51.0745945,16,51.8277058,35.29412
51.5706328,3.916019,51.6536975,1849.5,51.7326927,22.5,52.2296721,67.45098
51.9836834,14.06866,52.0728536,1931.25,52.1596961,7.5,52.699751,57.64706
52.3977006,14.06866,52.501721,2083.75,52.595717,9.5,53.0847549,25.4902
52.8306641,14.06866,52.9207462,2234,52.994754,9.5,53.5156216,13.33333
53.2748735,5.511434,53.3498113,2295,53.4358316,19.5,53.9348478,13.33333
53.6828452,2.900755,53.7788532,2272.25,53.8508481,22.5,54.3979222,13.33333
54.1248937,2.610679,54.2299253,2142,54.3239922,22.5,54.8299694,13.33333
54.5739572,2.755717,54.6448519,1924.25,54.7359709,22.5,55.243884,13.33333
55.0000032,3.19083,55.0958692,1410.25,55.1699635,22.5,55.6830017,13.33333
55.4309922,4.206094,55.5078958,1204.5,55.5959873,19.5,56.1240297,74.90196
55.8439273,14.35874,55.9350198,1472,56.0291355,3,56.5581035,13.33333
56.3061009,14.50377,56.3799829,4162,56.4741012,22.5,56.9981091,13.33333
56.7291434,1.885491,56.8230221,3926.5,56.9081544,22.5,57.4331534,13.33333
57.1771228,2.320604,57.2450284,3015.5,57.3381679,22.5,57.8772252,13.33333
57.5991781,2.610679,57.7062141,2207.5,57.7910935,22.5,58.2972111,13.33333
58.0400967,2.900755,58.1252437,1596.75,58.2112215,22.5,58.7122219,13.33333
58.4782248,3.916019,58.5532367,1203.5,58.6272365,22.5,59.1092513,13.33333
58.866131,4.49617,58.9542267,1209.75,59.0232274,12,59.5252484,13.33333
59.2732229,4.49617,59.3592374,1132.75,59.431179,7,59.9723338,20
59.7102569,4.786245,59.7842705,955.75,59.8782671,21.5,60.5523444,20.39216
60.3092908,10.29768,60.3833061,1969.5,60.4692196,25.5,60.9823733,20.39216
60.7243375,8.122113,60.7993382,2259.25,60.8993426,34,61.3852847,19.60784
61.1503398,7.977076,61.2243713,2252,61.3094217,34,61.8013981,13.33333
61.5464504,7.396924,61.6293178,2192.25,61.7183836,35.5,62.2554597,13.33333
61.9973974,4.061057,62.1004052,2002,62.1723879,22.5,62.7113502,13.33333
62.4276692,3.335868,62.5104279,1493.25,62.6246197,22.5,63.1458607,13.33333
62.886422,4.206094,62.9724416,1171.75,63.0554578,22.5,63.5963859,13.33333
63.324551,4.49617,63.4225964,1196,63.5213963,11,63.983499,13.33333
63.7494951,4.641208,63.8245129,1060.5,63.9085035,7.5,64.4305717,13.33333
64.1705325,5.221359,64.2455973,926.5,64.3345169,4.5,64.8454498,13.33333
64.6226231,6.236623,64.6948796,898.75,64.7745364,-4,65.1875403,13.33333
64.9895342,7.251887,65.0555887,879.75,65.1155362,0.5,65.6235744,13.33333
65.3645454,7.541962,65.4346239,867,65.5358567,-3.5,66.0258006,13.33333
65.787599,7.832038,65.8655878,865.75,65.9496005,-2,66.4826286,13.33333
66.2016226,7.251887,66.3086467,870.5,66.384638,-3,66.900559,13.33333
66.676669,6.236623,66.7496217,880.25,66.8236806,-1,67.3086865,13.33333
67.0746684,5.946547,67.1496433,856.75,67.224661,1,67.7337826,16.47059
67.4746999,5.946547,67.5606972,855.5,67.6446218,2.5,68.1577478,20.39216
67.9267683,7.832038,67.9906377,1057,68.0847653,13.5,68.6818364,20.39216
68.3227817,11.31294,68.5085867,1653.25,68.5845984,18,69.1007904,20.39216
68.8537609,10.29768,68.9406992,1796,69.0269147,18.5,69.5387978,20.39216
69.2728004,10.58776,69.3667885,1727.5,69.4477131,15.5,69.9708803,20.39216
69.7238791,11.02287,69.7998326,1270.75,69.8878864,2.5,70.3968943,26.66667
70.1348552,11.02287,70.2257619,1559.5,70.3138551,11,70.8248998,29.01961
70.5889313,13.0534,70.6679516,1839,70.7498915,8.5,71.2239509,34.5098
70.9950356,13.19843,71.0748241,2203.25,71.1480787,6,71.5949237,41.96078
71.3559072,13.63355,71.4352637,2478.5,71.5210061,7.5,72.0309995,51.37255
71.7829871,14.06866,71.8579603,2889.25,71.94695,10,72.4249744,61.56863
72.1831495,14.35874,72.2729878,3318.25,72.348973,15,72.9043923,61.56863
72.6320236,14.50377,72.7210185,3867.25,72.797013,14,73.3350651,60.78431
73.0955644,14.35874,73.1850862,4349,73.260044,15,73.7591338,58.82353
73.5110693,14.2137,73.5840621,4839,73.6771802,17.5,74.1881273,56.86274
73.921509,14.2137,74.0231285,5383.5,74.1091455,21,74.6250415,55.29412
74.3401336,13.77859,74.4331807,5798,74.5282886,24,75.1221535,54.90196
74.8230495,13.63355,74.9551469,6301,75.0341604,28.5,75.6241022,13.33333
75.3301685,9.572491,75.4312679,6300.5,75.5261739,22.5,76.2231631,40.39216
75.9092581,12.03813,75.9992093,4649.25,76.1132303,23,76.8302712,22.7451
76.5196075,6.961812,76.6231612,4031.25,76.7273163,40,77.3764403,19.21569
77.1092938,4.206094,77.1962873,4075.75,77.2853082,51.5,78.0232619,23.13725
77.7323356,4.786245,77.8335219,4006.75,77.9383917,45,78.5213727,25.88235
78.2243478,6.236623,78.321303,4089.5,78.4262704,39.5,79.0234484,20
78.7114104,6.091585,78.8255824,4158.25,78.9193913,46,79.6226051,13.33333
79.3224545,4.206094,79.4274834,4153,79.5225421,22.5,80.1165361,13.33333
79.8227149,2.320604,79.9094501,4036.75,80.0255819,9,80.62344,13.33333
80.3105508,2.030528,80.4047207,3971,80.5205232,22.5,81.2036125,13.33333
80.908551,1.885491,81.0025857,3861.5,81.109595,22.5,81.7135661,13.33333
81.3975606,1.740453,81.5126453,3753.25,81.62273,22.5,82.3066209,13.33333
82.0246383,1.740453,82.1075983,3668.25,82.2186189,22.5,82.77305,13.33333
82.4996698,1.740453,82.5776614,3560.75,82.6747149,22.5,83.2687578,13.33333
82.9696268,1.740453,83.0556844,3474.25,83.1791235,22.5,83.7097791,13.33333
83.4517252,1.740453,83.54267,3390,83.6297661,22.5,84.2247028,13.33333
83.9128633,1.885491,83.9977985,3316.5,84.1188013,22.5,84.8288126,13.33333
84.5317844,1.885491,84.6287909,3198,84.7249325,22.5,85.3178855,13.33333
85.0257119,2.030528,85.1188253,3120,85.2247636,22.5,85.7988821,13.33333
85.5227037,2.030528,85.6247797,3031,85.7188871,22.5,86.2748956,13.33333
85.9879326,2.175566,86.0738867,2965.5,86.1688889,22.5,86.7149143,13.33333
86.4488894,2.320604,86.5339418,2890,86.6238789,22.5,87.2248266,13.33333
86.8989323,2.320604,86.993973,2815.25,87.0779475,22.5,87.9081052,13.33333
87.6310492,2.465641,87.726002,2712.5,87.8240249,22.5,88.4270068,13.33333
88.11908,2.465641,88.2249062,2656.5,88.3180121,22.5,88.9910049,13.33333
88.7139216,2.320604,88.7970344,2579.5,88.8970094,22.5,89.435094,13.33333
89.1780286,2.320604,89.2540233,2523.25,89.3490317,22.5,89.9261197,13.33333
89.6480517,2.320604,89.742043,2461,89.8330753,22.5,90.3851309,13.33333
90.1150937,2.320604,90.1991166,2442,90.3030865,22.5,90.8261541,13.33333
90.5691246,2.320604,90.654115,2375.25,90.7411337,22.5,91.3071336,13.33333
91.0230511,2.320604,91.1101741,2312,91.2251115,22.5,91.8230788,13.33333
91.5151383,2.320604,91.6230449,2269.5,91.7141252,22.5,92.4230846,13.33333
92.1191365,2.320604,92.2251482,2214.75,92.3201866,22.5,93.0271896,13.33333
