; Unit System: English
; Time: seconds
; Intake manifold absolute pressure: PSI
; Ignition timing advance for #1 cylinder: 
; Engine RPM: RPM
;
Time,Intake manifold absolute pressure,Time,Ignition timing advance for #1 cylinder,Time,Engine RPM
46754.2257889,14.35874,46754.5127056,5,46754.3706353,2608
46754.9507819,14.50377,46755.2107389,7.5,46755.0887281,2887.25
46755.5436859,14.50377,46755.7357413,12,46755.6486843,3092
46755.8997985,14.50377,46756.0527922,13.5,46755.9747919,3231
46756.2077235,14.35874,46756.3618472,15.5,46756.2727568,3356.5
46756.5347601,14.50377,46756.7157844,17.5,46756.6258539,3483.5
46756.8788635,14.50377,46757.0507827,17.5,46756.9619531,3599.25
46757.2109267,14.06866,46757.3868828,18,46757.3059155,3723.25
46757.5458121,13.63355,46757.735918,28.5,46757.6498001,3849.75
46757.9279092,3.045793,46758.0738111,5,46758.0039098,3744.75
46758.2498415,2.175566,46758.4159719,16,46758.3399628,3780.25
46758.5859587,2.320604,46758.7308546,22.5,46758.6688627,3676.75
46758.9379768,2.175566,46759.1279612,22.5,46759.0319656,3402
46759.2930044,2.320604,46759.455885,22.5,46759.3889991,3059.75
46759.6499062,2.465641,46759.8199083,22.5,46759.7359368,2619.5
46760.0110398,2.465641,46760.1990652,22.5,46760.1050209,1940.25
46760.3650383,3.045793,46760.5990452,22.5,46760.4629954,1371
46760.8580446,4.931283,46761.150076,22.5,46760.9986873,935.75
46761.6971101,6.38166,46761.9614432,5,46761.8170999,978
46762.391154,6.816774,46762.6440447,-9,46762.506432,863.5
46763.0911705,14.35874,46763.3782377,-4.5,46763.2541777,1044.5
46763.7952161,14.35874,46764.0692242,-5,46763.9262582,1126.75
