1k,40,R11 R12 R13 R352 R701 R702 R703 R1001 R1002 R99 R137 R141 R170 R172 R173 R174 R404 R405 R408 R409 R412 R413 R416 R417 R420 R421 R424 R425 R427 R428 R429 R430 R431 R432 R433 R434 R435 R436 R437 R438,VISHAY,CRCW0805100KFKEA,DIGI,CRCW0805100KFKEA,,,,,,,
CRYSTAL,1,X1,CTS,ATS08A-E,DIGI,CTX1054-ND,,,,,,,
MAX31855KASA,4,U1101 U1201 U1301 U1401,DALLAS SEMI,MAX31855KASA+,,DIGI,MAX31855KASA+-ND,,,,,,
0R,2,R801 R802,DNP,DNP,DNP,DNP,,,,,,,
CONN_1,8,P1101 P1201 P1301 P1401 P1102 P1202 P1302 P1402,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,,
CONN_1,4,P5 P1001 P1003 P1004,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,,
CONN_1,18,P6 P9 P10 P11 P12 P13 P15 P16 P17 P18 P19 P20 P21 P22 P23 P30 P101 P1002,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,,
CONN_1,2,P901 P902,dnp,dnp,dnp,dnp,,,,,,,
CONN_12X2,3,P7 P8 P14,dnp,dnp,dnp,dnp,,,,,,,
CONN_2,1,P3,do not populate,DNP,do not populate,DNP,,,,,,,
CONN_2,2,P165 P166,do not populate,DNP,do not populate,DNP,,,,,,,
CONN_2,2,P602 P604,dnp,dnp,dnp,dnp,dnp,dnp,,,,,
CONN_25X2,2,P1 P2,do not populate,DNP,do not populate,DNP,,,,,,,
CONN_6,1,P4,do not populate,DNP,do not populate,DNP,,,,,,,
CONN_8X2,3,P24 P25 P26,dnp,dnp,dnp,dnp,,,,,,,
DIODESCH,12,D12 D13 D14 D15 D16 D17 D18 D19 D20 D21 D22 D23,DNP,DNP,DNP,DNP,,,,,,,
DNP,1,R171,DNP,DNP,DNP,DNP,,,,,,,
FUSE,1,F1002,DNP,DNP,DNP,DNP,,,,,,,
JMP,2,W1002 W1003,DNP,DNP,DNP,DNP,,,,,,,
JUMPER3,1,JP5,DNP,DNP,DNP,DNP,,,,,,,
LOGO,1,G2,DNP,DNP,DNP,DNP,,,,,,,
LOGO,1,G1,DNP,DNP,DNP,DNP,,,,,,,
OPT,1,R401,DNP,DNP,DNP,DNP,,,,,,,
TEST,2,W702 W703,DNP,DNP,DNP,DNP,,,,,,,
TEST,1,W701,DNP,DNP,DNP,DNP,,,,,,,
TEST-AN,2,JP9 JP11,dnp,dnp,dnp,dnp,,,,,,,
TEST-C-C,1,TEST2,dnp,dnp,dnp,dnp,,,,,,,
TEST-CAM,1,JPO5,dnp,dnp,dnp,dnp,,,,,,,
TEST-CRK,1,JPO4,dnp,dnp,dnp,dnp,,,,,,,
TEST-gnd,6,JPO2 JPO3 JPO6 JPO7 JPO8 JPO9,dnp,dnp,dnp,dnp,,,,,,,
TEST-LCD,1,JPO1,dnp,dnp,dnp,dnp,,,,,,,
CONN_2,4,P1103 P1203 P1303 P1403,on-shore,OSTVN02A150,DIGI,ED10561-ND,,,,,,,
SW_PUSH,2,SW1 SW2,E-SWITCH,TL1105F160Q,DIGI,EG1827-ND,,,,,,,
20R,12,R403 R406 R407 R410 R411 R414 R415 R418 R419 R422 R423 R426,Panasonic,ECG ERJ-6ENF20R0V,DIGI,ERJ-6ENF20R0V,,,,,,,
TEST,4,W39 W40 W41 W42,littlefuse,0224007.HXUP,DIGI,F2441-ND,,,,,,,
TEST,1,W49,littlefuse,0805L010YR,DIGI,F2769CT-ND,,,,,,,
