ref,value,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
BT1,BATTERY_CR2032,Keystone,103,DIGI,103K-ND,,,,,,
C1002,220uF 16V,kemet,T491D227K016AT,DIGI,399-10429-1-ND,sky-macau.com,8702041755,,,,,
C1003,220uF 16V,kemet,T491D227K016AT,DIGI,399-10429-1-ND,sky-macau.com,8702041755,,,,,
C1101,10nF,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,
C1102,100nF,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,
C1201,10nF,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,
C1202,100nF,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,
C1301,10nF,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,
C1302,100nF,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,
C1401,10nF,AVX,08051C103JAT2A,DIGI,478-3745-6-ND,,,,,,
C1402,100nF,AVX,08055C104KAT2A,DIGI,478-1395-1-ND,,,,,,
D1,LED-grn,lite-on,LTST-C171GKT,DIGI,160-1423-1-ND,,,,,,
D2,LED-org,lite-on,LTST-C170KFKT,DIGI,160-1413-1-ND,,,,,,
D3,LED-red,lite-on,LTST-C171KRKT,DIGI,160-1427-1-ND,,,,,,
D4,LED-blu,lite-on,LTST-C170TBKT,DIGI,160-1579-1-ND,,,,,,
D5,DIODESCH,ST,BAT60JFILM,DIGI,497-3707-1-ND,,,,,,
D6,DIODESCH,ST,BAT60JFILM,DIGI,497-3707-1-ND,,,,,,
D7,LED-grn,lite-on,LTST-C171GKT,DIGI,160-1423-1-ND,,,,,,
D8,LED-grn,lite-on,LTST-C171GKT,DIGI,160-1423-1-ND,,,,,,
D9,DIODESCH,ST,BAT60JFILM,DIGI,497-3707-1-ND,,,,,,
D11,LED-grn,lite-on,LTST-C171GKT,DIGI,160-1423-1-ND,,,,,,
D12,DIODESCH,DNP,DNP,DNP,DNP,,,,,,
D13,DIODESCH,DNP,DNP,DNP,DNP,,,,,,
D14,DIODESCH,DNP,DNP,DNP,DNP,,,,,,
D15,DIODESCH,DNP,DNP,DNP,DNP,,,,,,
D16,DIODESCH,DNP,DNP,DNP,DNP,,,,,,
D17,DIODESCH,DNP,DNP,DNP,DNP,,,,,,
D18,DIODESCH,DNP,DNP,DNP,DNP,,,,,,
D19,DIODESCH,DNP,DNP,DNP,DNP,,,,,,
D20,DIODESCH,DNP,DNP,DNP,DNP,,,,,,
D21,DIODESCH,DNP,DNP,DNP,DNP,,,,,,
D22,DIODESCH,DNP,DNP,DNP,DNP,,,,,,
D23,DIODESCH,DNP,DNP,DNP,DNP,,,,,,
D161,TPIC8101,TI,TPIC8101DW,DIGI,296-34575-5-ND,,,,,,
D210,DOUBLE_SCHOTTKY,st,BAS70-04FILM,DIGI,497-2516-1-ND,,,,,,
D220,DOUBLE_SCHOTTKY,st,BAS70-04FILM,DIGI,497-2516-1-ND,,,,,,
D230,DOUBLE_SCHOTTKY,st,BAS70-04FILM,DIGI,497-2516-1-ND,,,,,,
D240,DOUBLE_SCHOTTKY,st,BAS70-04FILM,DIGI,497-2516-1-ND,,,,,,
D250,DOUBLE_SCHOTTKY,st,BAS70-04FILM,DIGI,497-2516-1-ND,,,,,,
