ref,value,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
BT1,BATTERY_CR2032,Keystone,103,DIGI,103K-ND,,,,,,
R167,68k,Panasonic,ERA-6AEB683V,DIGI,P68KDACT-ND,,,,,,
R168,68k,Panasonic,ERA-6AEB683V,DIGI,P68KDACT-ND,,,,,,
R170,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R171,DNP,DNP,DNP,DNP,DNP,,,,,,
R172,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R173,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R174,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R175,10k,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R176,10k,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R177,820R,vishay,CRCW0805820RJNEA,DIGI,541-820ACT-ND,,,,,,
R210,2700,PANASONIC,ERJ-6ENF2701V,DIGI,P2.70KCCT-ND,,,,,,
R211,dnp,dnp,dnp,dnp,dnp,,,,,,
R212,10k,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R213,100,PANASONIC,ERJ-6ENF1000V,DIGI,P100CTR-ND,,,,,,
R214,1500 .1%,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R215,1500 .1%,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R220,2700,PANASONIC,ERJ-6ENF2701V,DIGI,P2.70KCCT-ND,,,,,,
R221,dnp,dnp,dnp,dnp,dnp,,,,,,
R222,10k,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R223,100,PANASONIC,ERJ-6ENF1000V,DIGI,P100CTR-ND,,,,,,
R224,1500 .1%,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R225,1500 .1%,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R230,dnp,dnp,dnp,dnp,dnp,,,,,,
R231,500K,ECG,ERA6AEB4993V,DIGI,P499KDACT-ND,,,,,,
R232,10k,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R233,100,PANASONIC,ERJ-6ENF1000V,DIGI,P100CTR-ND,,,,,,
R234,1500 .1%,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R235,1500 .1%,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R240,dnp,dnp,dnp,dnp,dnp,,,,,,
R241,500K,ECG,ERA6AEB4993V,DIGI,P499KDACT-ND,,,,,,
R242,10k,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R243,100,PANASONIC,ERJ-6ENF1000V,DIGI,P100CTR-ND,,,,,,
R244,1500 .1%,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R245,1500 .1%,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R250,dnp,dnp,dnp,dnp,dnp,,,,,,
R251,500K,ECG,ERA6AEB4993V,DIGI,P499KDACT-ND,,,,,,
R252,10k,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R253,100,PANASONIC,ERJ-6ENF1000V,DIGI,P100CTR-ND,,,,,,
R254,1500 .1%,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R255,1500 .1%,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R260,10k,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R261,dnp,dnp,dnp,dnp,dnp,,,,,,
R262,10k,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R263,100,PANASONIC,ERJ-6ENF1000V,DIGI,P100CTR-ND,,,,,,
R264,1500 .1%,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R265,1500 .1%,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R270,dnp,dnp,dnp,dnp,dnp,,,,,,
R271,500K,ECG,ERA6AEB4993V,DIGI,P499KDACT-ND,,,,,,
R272,10k,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R273,100,PANASONIC,ERJ-6ENF1000V,DIGI,P100CTR-ND,,,,,,
R274,1500 .1%,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R275,1500 .1%,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R280,10k,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R281,dnp,dnp,dnp,dnp,dnp,,,,,,
R282,10k,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R283,100,PANASONIC,ERJ-6ENF1000V,DIGI,P100CTR-ND,,,,,,
R284,1500 .1%,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R285,1500 .1%,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R290,1k,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R291,dnp,dnp,dnp,dnp,dnp,,,,,,
R292,10k,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R293,100,PANASONIC,ERJ-6ENF1000V,DIGI,P100CTR-ND,,,,,,
R294,1500 .1%,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R295,1500 .1%,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R300,10k,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R301,dnp,dnp,dnp,dnp,dnp,,,,,,
R302,10k,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R303,100,PANASONIC,ERJ-6ENF1000V,DIGI,P100CTR-ND,,,,,,
R304,1500 .1%,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R305,1500 .1%,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R310,1k,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R311,dnp,dnp,dnp,dnp,dnp,,,,,,
R312,10k,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R313,100,PANASONIC,ERJ-6ENF1000V,DIGI,P100CTR-ND,,,,,,
R314,1500 .1%,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R315,1500 .1%,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R320,39k 0.1%,ECG,ERA6AEB393V,DIGI,P39KDACT-ND,,,,,,
R321,10k 1%,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R322,10k,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R323,100,PANASONIC,ERJ-6ENF1000V,DIGI,P100CTR-ND,,,,,,
R324,1500 .1%,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R325,1500 .1%,ECG,ERA6AEB152V,DIGI,P1.5KDADKR-ND,,,,,,
R351,1M,ECG,ERA-6AEB105V,DIGI,P1MDACT-ND,,,,,,
R352,1k,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R401,OPT,DNP,DNP,DNP,DNP,,,,,,
R402,0R,0R,jumperwire,0R,jumperwire,,,,,,
R403,20R,Panasonic,ECG ERJ-6ENF20R0V,DIGI,ERJ-6ENF20R0V,,,,,,
R404,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R405,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R406,20R,Panasonic,ECG ERJ-6ENF20R0V,DIGI,ERJ-6ENF20R0V,,,,,,
R407,20R,Panasonic,ECG ERJ-6ENF20R0V,DIGI,ERJ-6ENF20R0V,,,,,,
R408,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R409,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R410,20R,Panasonic,ECG ERJ-6ENF20R0V,DIGI,ERJ-6ENF20R0V,,,,,,
R411,20R,Panasonic,ECG ERJ-6ENF20R0V,DIGI,ERJ-6ENF20R0V,,,,,,
R412,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R413,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R414,20R,Panasonic,ECG ERJ-6ENF20R0V,DIGI,ERJ-6ENF20R0V,,,,,,
R415,20R,Panasonic,ECG ERJ-6ENF20R0V,DIGI,ERJ-6ENF20R0V,,,,,,
R416,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R417,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R418,20R,Panasonic,ECG ERJ-6ENF20R0V,DIGI,ERJ-6ENF20R0V,,,,,,
R419,20R,Panasonic,ECG ERJ-6ENF20R0V,DIGI,ERJ-6ENF20R0V,,,,,,
R420,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R421,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R422,20R,Panasonic,ECG ERJ-6ENF20R0V,DIGI,ERJ-6ENF20R0V,,,,,,
R423,20R,Panasonic,ECG ERJ-6ENF20R0V,DIGI,ERJ-6ENF20R0V,,,,,,
R424,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R425,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R426,20R,Panasonic,ECG ERJ-6ENF20R0V,DIGI,ERJ-6ENF20R0V,,,,,,
R427,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R428,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R429,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R430,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R431,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R432,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R433,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R434,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R435,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R436,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R437,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R438,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R472,10k,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R473,120,ECG,ERA6AEB121V,DIGI,P120DACT-ND,,,,,,
R601,100,PANASONIC,ERJ-6ENF1000V,DIGI,P100CTR-ND,,,,,,
R602,2700,PANASONIC,ERJ-6ENF2701V,DIGI,P2.70KCCT-ND,,,,,,
R603,2700,PANASONIC,ERJ-6ENF2701V,DIGI,P2.70KCCT-ND,,,,,,
R604,100,PANASONIC,ERJ-6ENF1000V,DIGI,P100CTR-ND,,,,,,
R605,100,PANASONIC,ERJ-6ENF1000V,DIGI,P100CTR-ND,,,,,,
R606,2700,PANASONIC,ERJ-6ENF2701V,DIGI,P2.70KCCT-ND,,,,,,
R607,2700,PANASONIC,ERJ-6ENF2701V,DIGI,P2.70KCCT-ND,,,,,,
R608,100,PANASONIC,ERJ-6ENF1000V,DIGI,P100CTR-ND,,,,,,
R609,100,PANASONIC,ERJ-6ENF1000V,DIGI,P100CTR-ND,,,,,,
R610,2700,PANASONIC,ERJ-6ENF2701V,DIGI,P2.70KCCT-ND,,,,,,
R611,2700,PANASONIC,ERJ-6ENF2701V,DIGI,P2.70KCCT-ND,,,,,,
R612,100,PANASONIC,ERJ-6ENF1000V,DIGI,P100CTR-ND,,,,,,
R613,100,PANASONIC,ERJ-6ENF1000V,DIGI,P100CTR-ND,,,,,,
R614,2700,PANASONIC,ERJ-6ENF2701V,DIGI,P2.70KCCT-ND,,,,,,
R615,2700,PANASONIC,ERJ-6ENF2701V,DIGI,P2.70KCCT-ND,,,,,,
R616,100,PANASONIC,ERJ-6ENF1000V,DIGI,P100CTR-ND,,,,,,
R701,1k,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R702,1k,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R703,1k,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R801,pdwn,DNP,DNP,DNP,DNP,,,,,,
R802,pdwn,DNP,DNP,DNP,DNP,,,,,,
R1001,1k,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R1002,1k,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
RV101,1kpot,Bourns,TC33X-2-102E,DIGI,TC33X-102ECT-ND,,,,,,
S1,DISPLAY_BL,,,,,,,,
SW1,SW_PUSH,E-SWITCH,TL1105F160Q,DIGI,EG1827-ND,,,,,,
SW2,SW_PUSH,E-SWITCH,TL1105F160Q,DIGI,EG1827-ND,,,,,,
TEST2,TEST-C-C,dnp,dnp,dnp,dnp,,,,,,
U1,STM32F407VG,ST,STM32F407VGT6,DIGI,497-11605-ND,,,,,,
U2,NUF2101MT1G,on-semi,NUF2101MT1G,DIGI,NUF2101MT1GOSCT-ND,,,,,,
U3,LM2937,TI,LM2937IMP-3.3/NOPB,DIGI,LM2937IMP-3.3/NOPBCT-ND,,,,,,
U4,ITEAD_HC-0X,,,,,,,,
U5,SKRHAAE010,ALPS,SKRHAAE010,Mouser,688-SKRHAAE010,,,,,,
U101,MAX9926/9927,maxim,MAX9926UAEE+,DIGI,MAX9926UAEE+-ND,mouser,700-MAX9926UAEE,--,-,other,more,stuff,,
U201,MCP6004,microchip,MCP6004-E/SL,DIGI,microchip,MCP6004-E/SL-ND,,,,,,
U202,MCP6004,microchip,MCP6004-E/SL,DIGI,microchip,MCP6004-E/SL-ND,,,,,,
U203,MCP6004,microchip,MCP6004-E/SL,DIGI,microchip,MCP6004-E/SL-ND,,,,,,
U351,FT232RL,ftdi,FT232RL,DIGI,768-1007-2-ND,,,,,,
U471,SN65HVD230,TI,SN65HVD230QD,DIGI,296-13123-5-ND,,,,,,
U601,TC4427,MICROCHIP,TC4427AVOA,SEEED,NA,MOUSER,579-TC4427AVOA,,,,,
U602,TC4427,MICROCHIP,TC4427AVOA,SEEED,NA,MOUSER,579-TC4427AVOA,,,,,
U603,TC4427,MICROCHIP,TC4427AVOA,SEEED,NA,MOUSER,579-TC4427AVOA,,,,,
U604,TC4427,MICROCHIP,TC4427AVOA,SEEED,NA,MOUSER,579-TC4427AVOA,,,,,
U1001,LM2596,linear,2596-5.0,DIGI,LM2596S-5.0/NOPB-ND,sky-macau.com,6841999795,,,,,
U1101,MAX31855KASA,DALLAS SEMI,MAX31855KASA+	,DIGI,MAX31855KASA+-ND,,,,,,
U1201,MAX31855KASA,DALLAS SEMI,MAX31855KASA+	,DIGI,MAX31855KASA+-ND,,,,,,
U1301,MAX31855KASA,DALLAS SEMI,MAX31855KASA+	,DIGI,MAX31855KASA+-ND,,,,,,
U1401,MAX31855KASA,DALLAS SEMI,MAX31855KASA+	,DIGI,MAX31855KASA+-ND,,,,,,
W1,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W2,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W3,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W4,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W5,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W6,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W7,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W8,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W9,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W10,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W11,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W12,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W13,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W14,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W15,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W16,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W17,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W18,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W19,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W20,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W21,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W22,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W23,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W27,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W28,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W29,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W30,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W31,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W32,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W33,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W34,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W35,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W36,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W37,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W38,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W39,TEST,littlefuse,0224007.HXUP,DIGI,F2441-ND,,,,,,
W40,TEST,littlefuse,0224007.HXUP,DIGI,F2441-ND,,,,,,
W41,TEST,littlefuse,0224007.HXUP,DIGI,F2441-ND,,,,,,
W42,TEST,littlefuse,0224007.HXUP,DIGI,F2441-ND,,,,,,
W43,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W44,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W45,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W46,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W47,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W48,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W49,TEST,littlefuse,0805L010YR,DIGI,F2769CT-ND,,,,,,
W50,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W51,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W52,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W53,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W54,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W55,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W56,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W57,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W58,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W59,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W60,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W61,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W62,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W63,CONN_1,,,,,,,,
W64,CONN_1,,,,,,,,
W101,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W102,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W103,TEST,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND,,,,,,
W701,TEST,DNP,DNP,DNP,DNP,,,,,,
W702,TEST,DNP,DNP,DNP,DNP,,,,,,
W703,TEST,DNP,DNP,DNP,DNP,,,,,,
W1002,JMP,DNP,DNP,DNP,DNP,,,,,,
W1003,JMP,DNP,DNP,DNP,DNP,,,,,,
X1,CRYSTAL,CTS,ATS08A-E,DIGI,CTX1054-ND,,,,,,
X2,CRYSTAL,epson,MC-306 32.768K-E3:ROHS,DIGI,SER2417CT-ND,,,,,,
X161,8MHz,ABRACON,ABLS-8.000MHZ-K4T,DIGI,535-9937-1-ND,,,,,,
