### this file was generated by rusEfi bom_builder on Sun Mar 16 19:00:58 CDT 2014
### 292 components in 2047 lines of frankenstein.cmp
### 62 kinds of components in input file
### 28 entries in BOM dictionary bom_dictionary_digikey.csv
### 34 entries in ignore list




1,P1.0KACT-ND,R353: 1K resistor
1,P1.0KACT-ND,R354: 1K resistor
1,P1.0KACT-ND,R101: 1K resistor
1,P1.0KACT-ND,R105: 1K resistor
1,1276-1029-1-ND,C105: 1UF cap
1,P20.0KCCT-ND,R117: 20K resistor
1,P20.0KCCT-ND,R118: 20K resistor
1,P20.0CCT-ND,R3: 20R driver current limiting
1,P20.0CCT-ND,R6: 20R driver current limiting
1,P20.0CCT-ND,R7: 20R driver current limiting
1,P20.0CCT-ND,R10: 20R driver current limiting
1,P20.0CCT-ND,R11: 20R driver current limiting
1,P20.0CCT-ND,R14: 20R driver current limiting
1,P20.0CCT-ND,R15: 20R driver current limiting
1,P20.0CCT-ND,R18: 20R driver current limiting
1,P20.0CCT-ND,R19: 20R driver current limiting
1,P20.0CCT-ND,R22: 20R driver current limiting
1,P20.0CCT-ND,R23: 20R driver current limiting
1,P20.0CCT-ND,R26: 20R driver current limiting
1,P2.7KECT-ND,R602: pull-up for CLT
1,P2.7KECT-ND,R603: pull-up for CLT
1,P2.7KECT-ND,R606: pull-up for CLT
1,P2.7KECT-ND,R607: pull-up for CLT
1,P2.7KECT-ND,R610: pull-up for CLT
1,P2.7KECT-ND,R611: pull-up for CLT
1,P2.7KECT-ND,R210: pull-up for CLT
1,P2.7KECT-ND,R220: pull-up for CLT
1,P2.7KECT-ND,R230: pull-up for CLT
1,P2.7KECT-ND,R240: pull-up for CLT
1,P2.7KECT-ND,R250: pull-up for CLT
1,P2.7KECT-ND,R260: pull-up for CLT
1,P2.7KECT-ND,R270: pull-up for CLT
1,P2.7KECT-ND,R280: pull-up for CLT
1,P2.7KECT-ND,R290: pull-up for CLT
1,P2.7KECT-ND,R300: pull-up for CLT
1,P2.7KECT-ND,R310: pull-up for CLT
1,P2.7KECT-ND,R320: pull-up for CLT
1,311-1371-1-ND,C472: 4.7UF
1,311-1371-1-ND,C354: 4.7UF
1,311-1371-1-ND,C358: 4.7UF
1,399-1155-1-ND,C351: 4700PF cap
1,1276-1156-1-ND,C352: 47PF cap
1,1276-1156-1-ND,C353: 47PF cap
1,P499KFCT-ND,R211: pull-down
1,P499KFCT-ND,R221: pull-down
1,P499KFCT-ND,R231: pull-down
1,P499KFCT-ND,R241: pull-down
1,P499KFCT-ND,R251: pull-down
1,P499KFCT-ND,R261: pull-down
1,P499KFCT-ND,R271: pull-down
1,P499KFCT-ND,R281: pull-down
1,P499KFCT-ND,R291: pull-down
1,P499KFCT-ND,R301: pull-down
1,P499KFCT-ND,R311: pull-down
1,P499KFCT-ND,R321: pull-down
1,ERJ-6ENF4991V,R102: 5k for VR
1,ERJ-6ENF4991V,R103: 5k for VR
1,ERJ-6ENF4991V,R104: 5k for VR
1,ERJ-6ENF4991V,R106: 5k for VR
1,ERJ-6ENF4991V,R107: 5k for VR
1,ERJ-6ENF4991V,R108: 5k for VR
1,ERJ-6ENF4991V,R109: 5k for VR
1,ERJ-6ENF4991V,R110: 5k for VR
1,ERJ-6ENF4991V,R111: 5k for VR
1,ERJ-6ENF4991V,R112: 5k for VR
1,296-11654-1-ND,U471: CAN driver
1,497-11082-1-ND,Q1: 12A low-side MOSFET
1,497-11082-1-ND,Q2: 12A low-side MOSFET
1,497-11082-1-ND,Q3: 12A low-side MOSFET
1,497-11082-1-ND,Q4: 12A low-side MOSFET
1,497-11082-1-ND,Q5: 12A low-side MOSFET
1,497-11082-1-ND,Q6: 12A low-side MOSFET
1,497-11082-1-ND,Q7: 12A low-side MOSFET
1,497-11082-1-ND,Q8: 12A low-side MOSFET
1,497-11082-1-ND,Q9: 12A low-side MOSFET
1,497-11082-1-ND,Q10: 12A low-side MOSFET
1,497-11082-1-ND,Q11: 12A low-side MOSFET
1,497-11082-1-ND,Q12: 12A low-side MOSFET
1,MAX9926UAEE+TCT-ND,U101: VR chip
1,TC4427AVOA-ND,U601: 1.5A dual driver
1,TC4427AVOA-ND,U602: 1.5A dual driver
1,TC4427AVOA-ND,U603: 1.5A dual driver
1,497-4943-1-ND,U201: quad op-amp
1,497-4943-1-ND,U202: quad op-amp
1,497-4943-1-ND,U203: quad op-amp
1,497-2516-1-ND,D210: input protection diode
1,497-2516-1-ND,D220: input protection diode
1,497-2516-1-ND,D230: input protection diode
1,497-2516-1-ND,D240: input protection diode
1,497-2516-1-ND,D250: input protection diode
1,497-2516-1-ND,D260: input protection diode
1,497-2516-1-ND,D270: input protection diode
1,497-2516-1-ND,D280: input protection diode
1,497-2516-1-ND,D290: input protection diode
1,497-2516-1-ND,D300: input protection diode
1,497-2516-1-ND,D310: input protection diode
1,497-2516-1-ND,D320: input protection diode
1,768-1007-1-ND,U351: USB TTL chip
