### this file was generated by rusEfi bom_builder on Sun Mar 16 19:00:58 CDT 2014
### 292 components in 2047 lines of frankenstein.cmp
### 62 kinds of components in input file
### 28 entries in BOM dictionary bom_dictionary_digikey.csv
### 34 entries in ignore list




1,670-1190-1-ND,mini USB socket
4,311-1361-1-ND,0.1UF cap
12,490-1754-1-ND,input RC filter 10000PF/0.01uF
9,399-11179-1-ND,op-amp power supply capacitor 0.1uF
19,RMCF0805JT100R,100R resistor
3,399-1147-1-ND,1000PF cap
17,P10.0KFCT-ND,current limiting 10k
1,311-1355-1-ND,10uF cap
1,311-120ARCT-ND,CAN terminator
24,P1.5KECT-ND,voltage divider
1,311-1.0MARCT-ND,USB something
19,P1.0KACT-ND,1K resistor
1,1276-1029-1-ND,1UF cap
2,P20.0KCCT-ND,20K resistor
12,P20.0CCT-ND,20R driver current limiting
18,P2.7KECT-ND,pull-up for CLT
3,311-1371-1-ND,4.7UF
1,399-1155-1-ND,4700PF cap
2,1276-1156-1-ND,47PF cap
12,P499KFCT-ND,pull-down
10,ERJ-6ENF4991V,5k for VR
1,296-11654-1-ND,CAN driver
12,497-11082-1-ND,12A low-side MOSFET
1,MAX9926UAEE+TCT-ND,VR chip
3,TC4427AVOA-ND,1.5A dual driver
3,497-4943-1-ND,quad op-amp
12,497-2516-1-ND,input protection diode
1,768-1007-1-ND,USB TTL chip
