10nF,1,"C21",SM0603
100nF,1,"C8",SM0603
CONN_1,1,"P2",SIL-1
CONN_2,1,"P4",SIL-2
CONN_4,1,"P3",SIL-4
CONN_2,1,"P1",tcpl_PCC-SMP
MAX31855KASA,1,"U5",SO8E,MAX31855KASA+
VIA,2,"V801 V802",1pin
