Reference, Quantity, Value, Footprint, Datasheet, MFG,MFG#, VEND1,VEND1#
C2 ,1,47pF,Capacitors_SMD:C_0805,,kemet,CBR08C470J5GAC,mouser,80-CBR08C470J5GAC
C1 C3 ,2,2.2uF,Capacitors_SMD:C_0805,,kemet,C0805C225K4RACTU,mouser,80-C0805C225K4R
C4 ,1,5600pF,Capacitors_SMD:C_0805,,kemet,C0805C562K5RACAUTO,mouser,80-C0805C562K5RAUTO
C5 ,1,0.1uF,Capacitors_SMD:C_0805,,kemet,C0805X104J5RACAUTO,mouser,80-C0805X104J5RAUTO
C6 ,1,100uF,Capacitors_SMD:C_0805,,MURATA,GRM21BR60J107ME15L,mouser,81-GRM21BR60J107ME5L
D1 ,1,B560C,Diodes_SMD:D_0805,,DiodesIncorporated, B540C-13-F,mouser,621-B540C-F
J1 J2 J3 J4 J5 ,5,Conn_01x01,Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm,
L1 ,1,5.6uH,Resistors_Universal:Resistor_SMDuniversal_0805to1206_HandSoldering,,BOURNS,CE201210-5N6J,mouser,652-CE201210-5N6J
R1 ,1,365k,Resistors_SMD:R_0805,, panasonic,ERA-6AEB3653V,mouser,667-ERA-6AEB3653V
R2 ,1,86k6,Resistors_SMD:R_0805,,panasonic,ERA-6AEB8662V,mouser,667-ERA-6AEB8662V
R3 ,1,162k,Resistors_SMD:R_0805,,panasonic,ERA-6AEB1623V,mouser,667-ERA-6AEB1623V
R4 ,1,11k5,Resistors_SMD:R_0805,,panasonic,ERA-6AEB1152V,mouser,667-ERA-6AEB1152V
R5 ,1,53k6,Resistors_SMD:R_0805,,panasonic,ERA-6AEB5362V,mouser,667-ERA-6AEB5362V
R6 ,1,10k2,Resistors_SMD:R_0805,,panasonic,ERA6AEB1022V,mouser,667-ERA-6AEB1022V
U1 ,1,TPS54340,Housings_SOIC:TI_SO-PowerPAD-8_ThermalVias,,Texas Instruments,TPS54340BQDDAQ1,MOUSER,595-TPS54340BQDDAQ1
