BATTERY_CR2032,1,"BT1",BATT_CR2032_MPD,Keystone,103,digi,103K-ND
LED-red,13,"D3 D24 D25 D26 D27 D28 D29 D30 D31 D32 D33 D34 D414",LED-0805_A,lite-on,LTST-C171KRKT,DIGI,160-1427-1-ND
LED-blu,1,"D4",LED-0805_A,lite-on,LTST-C170TBKT,digi,160-1579-1-ND
DIODESCH,4,"D5 D6 D9 D10",SM0805-diode,avx,SD0805S020S1R0,DIGI,478-7800-1-ND
DIODESCH,12,"D12 D13 D14 D15 D16 D17 D18 D19 D20 D21 D22 D23",SM0805_jumper,DNP,DNP,DNP,DNP
ZENERSMALL,1,"D1001",SM1206,onsemi,MM3Z6V8T1G,digi,MM3Z6V8T1GOSCT-ND,sky-macau.com,5633100308
HIP9011,1,"D161",SO20L,intersil,HIP9011ABZ,digi,HIP9011ABZ-ND
DIODE,12,"D35 D36 D37 D38 D39 D40 D41 D42 D43 D44 D45 D413",SOD-123,on semi,BAT54T1G,digi,BAT54T1GOSCT-ND
DOUBLE_SCHOTTKY,13,"D210 D220 D230 D240 D250 D260 D270 D280 D290 D300 D310 D320 D703",sot23,st,BAS70-04FILM,DIGI,497-2516-1-ND
3.5A,1,"F1001",SIL-2,0R,jumperwire,0R,jumperwire
FILTER,1,"FB1",SM0805,Murata,BLM21PG221SN1D,digi,490-1054-6-ND
FILTER,1,"FB701",SM0805_jumper,Murata,BLM21PG221SN1D,digi,490-1054-6-ND
LOGO,1,"G2",LOGO,DNP,DNP,DNP,DNP
LOGO,1,"G1",LOGO_F,DNP,DNP,DNP,DNP
MINI-USB-5P-3400020P1,2,"J1 J351",MINI-USB-5P-3400020P1,JAE,DX2R005HN2E700,DIGI,670-1190-1-ND
MINI-USB-5P-3400020P1V,2,"J2 J352",MINI-USB_RCTP_V-T_B,TE,1734753-1,DIGI,A107790-ND
JUMPER,5,"JP1 JP2 JP3 JP4 JP471",JUMPER-2,JUMPER-WIRE,0R,JUMPER-WIRE,0R
TEST-AN,2,"JP211 JP212",SIL-2,dnp,dnp,dnp,dnp
JUMPER3,1,"JP5",SIL-3,DNP,DNP,DNP,DNP
TEST-LCD,1,"JPO1",SIL-2,dnp,dnp,dnp,dnp
TEST-gnd,6,"JPO2 JPO3 JPO6 JPO7 JPO8 JPO9",SIL-2,dnp,dnp,dnp,dnp
TEST-CRK,1,"JPO4",SIL-2,dnp,dnp,dnp,dnp
TEST-CAM,1,"JPO5",SIL-2,dnp,dnp,dnp,dnp
38uH,2,"L1001 L1002",SM100uH,ref_PULSE,PE-54040-S,sky-macau.com,3817361683
LED-blu,6,"LD601 LD602 LD603 LD604 LD605 LD606",LED-0805,LITE-ON,LTST-C170TBKT,SEEED,NA,DIGI,160-1579-1-ND
176122-6_2ND,1,"P99",176122-6_2nd,TE,176122-6,DIGI,176122-6_2ND
