Sun Aug 17 14:06:06 EDT 2014: Console 20140813
Sun Aug 17 14:06:08 EDT 2014: Failed to read from http://rusefi.com/console/versions.txt: java.net.UnknownHostException: rusefi.com
Sun Aug 17 14:06:09 EDT 2014: postMessage Launcher: Available port: COM3
Sun Aug 17 14:06:09 EDT 2014: postMessage Launcher: Available port: COM15
Sun Aug 17 14:06:11 EDT 2014: postMessage SerialManager: Opening port: COM15
Sun Aug 17 14:06:11 EDT 2014: Opening COM15 @ 115200
Sun Aug 17 14:06:12 EDT 2014: time,14.008,rpm,0,maf,4.57,MAP,166.82,map_r,166.87,baro,379.92,afr,16.60,vref,0.79,vbatt,3.99,TP,100.00,CLT,-18.12,MAT,-17.72,ckp_c,0,fuel_base,3.00,fuel_lag,0.00,fuel,3.00,timing,0.00,duty0,NaN,dwell0,0.00,period0,0.00,advance0,0.000,duty1,NaN,dwell1,0.00,period1,0.00,advance1,0.000,
Sun Aug 17 14:06:13 EDT 2014: rusEfiVersion,20140817@4073 Honda Accord 2w,outpin,c1@PC6,outpin,c2@PA5,outpin,spa1@PE4,outpin,inj1@PB8,outpin,spa2@NONE,outpin,inj2@PB9,outpin,spa3@NONE,outpin,inj3@PE1,outpin,spa4@NONE,outpin,inj4@PB7,time,15.008,rpm,0,maf,4.58,MAP,166.93,map_r,167.26,baro,380.65,afr,16.64,vref,0.79,vbatt,3.99,TP,100.00,CLT,-18.39,MAT,-17.99,ckp_c,0,fuel_base,3.00,fuel_lag,0.00,fuel,3.00,timing,0.00,duty0,NaN,dwell0,0.00,period0,0.00,advance0,0.000,duty1,NaN,dwell1,0.00,period1,0.00,advance1,0.000,
Sun Aug 17 14:06:14 EDT 2014: time,16.010,rpm,0,maf,4.58,MAP,166.87,map_r,166.82,baro,380.65,afr,16.62,vref,0.79,vbatt,4.00,TP,100.00,CLT,-18.39,MAT,-17.99,ckp_c,0,fuel_base,3.00,fuel_lag,0.00,fuel,3.00,timing,0.00,duty0,NaN,dwell0,0.00,period0,0.00,advance0,0.000,duty1,NaN,dwell1,0.00,period1,0.00,advance1,0.000,
Sun Aug 17 14:06:15 EDT 2014: time,17.011,rpm,0,maf,4.57,MAP,166.59,map_r,166.59,baro,380.51,afr,16.61,vref,0.79,vbatt,4.00,TP,100.00,CLT,-18.39,MAT,-17.99,ckp_c,0,fuel_base,3.00,fuel_lag,0.00,fuel,3.00,timing,0.00,duty0,NaN,dwell0,0.00,period0,0.00,advance0,0.000,duty1,NaN,dwell1,0.00,period1,0.00,advance1,0.000,
Sun Aug 17 14:06:16 EDT 2014: time,18.013,rpm,0,maf,4.58,MAP,166.87,map_r,166.93,baro,381.24,afr,16.62,vref,0.79,vbatt,3.99,TP,100.00,CLT,-18.66,MAT,-18.26,ckp_c,0,fuel_base,3.00,fuel_lag,0.00,fuel,3.00,timing,0.00,duty0,NaN,dwell0,0.00,period0,0.00,advance0,0.000,duty1,NaN,dwell1,0.00,period1,0.00,advance1,0.000,
Sun Aug 17 14:06:17 EDT 2014: rusEfiVersion,20140817@4073 Honda Accord 2w,outpin,c1@PC6,outpin,c2@PA5,outpin,spa1@PE4,outpin,inj1@PB8,outpin,spa2@NONE,outpin,inj2@PB9,outpin,spa3@NONE,outpin,inj3@PE1,outpin,spa4@NONE,outpin,inj4@PB7,time,19.013,rpm,0,maf,4.57,MAP,166.82,map_r,166.93,baro,381.09,afr,16.62,vref,0.79,vbatt,4.00,TP,100.00,CLT,-18.59,MAT,-18.26,ckp_c,0,fuel_base,3.00,fuel_lag,0.00,fuel,3.00,timing,0.00,duty0,NaN,dwell0,0.00,period0,0.00,advance0,0.000,duty1,NaN,dwell1,0.00,period1,0.00,advance1,0.000,
Sun Aug 17 14:06:18 EDT 2014: time,20.016,rpm,0,maf,4.57,MAP,166.59,map_r,166.48,baro,380.65,afr,16.61,vref,0.79,vbatt,3.99,TP,100.00,CLT,-18.32,MAT,-17.99,ckp_c,0,fuel_base,3.00,fuel_lag,0.00,fuel,3.00,timing,0.00,duty0,NaN,dwell0,0.00,period0,0.00,advance0,0.000,duty1,NaN,dwell1,0.00,period1,0.00,advance1,0.000,
Sun Aug 17 14:06:19 EDT 2014: time,21.017,rpm,0,maf,4.57,MAP,166.71,map_r,166.82,baro,381.09,afr,16.62,vref,0.79,vbatt,3.99,TP,100.00,CLT,-18.53,MAT,-18.26,ckp_c,0,fuel_base,3.00,fuel_lag,0.00,fuel,3.00,timing,0.00,duty0,NaN,dwell0,0.00,period0,0.00,advance0,0.000,duty1,NaN,dwell1,0.00,period1,0.00,advance1,0.000,
Sun Aug 17 14:06:20 EDT 2014: time,22.017,rpm,0,maf,4.58,MAP,166.87,map_r,167.09,baro,381.09,afr,16.62,vref,0.79,vbatt,4.00,TP,100.00,CLT,-18.66,MAT,-18.26,ckp_c,0,fuel_base,3.00,fuel_lag,0.00,fuel,3.00,timing,0.00,duty0,NaN,dwell0,0.00,period0,0.00,advance0,0.000,duty1,NaN,dwell1,0.00,period1,0.00,advance1,0.000,
Sun Aug 17 14:06:21 EDT 2014: rusEfiVersion,20140817@4073 Honda Accord 2w,outpin,c1@PC6,outpin,c2@PA5,outpin,spa1@PE4,outpin,inj1@PB8,outpin,spa2@NONE,outpin,inj2@PB9,outpin,spa3@NONE,outpin,inj3@PE1,outpin,spa4@NONE,outpin,inj4@PB7,time,23.018,rpm,0,maf,4.58,MAP,167.21,map_r,167.21,baro,380.80,afr,16.62,vref,0.79,vbatt,4.00,TP,100.00,CLT,-18.39,MAT,-17.99,ckp_c,0,fuel_base,3.00,fuel_lag,0.00,fuel,3.00,timing,0.00,duty0,NaN,dwell0,0.00,period0,0.00,advance0,0.000,duty1,NaN,dwell1,0.00,period1,0.00,advance1,0.000,
