Time[s], igniter, large, small, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.000000000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.327972750000000, 0, 0, 1, 1, 1, 1, 1, 1
1.403378000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.403555250000000, 1, 1, 1, 1, 1, 1, 1, 1
1.403555500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.403555750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.456009500000000, 1, 0, 1, 1, 1, 1, 1, 1
1.456194000000000, 0, 0, 1, 1, 1, 1, 1, 1
1.485174000000000, 0, 0, 0, 1, 1, 1, 1, 1
1.498496500000000, 0, 1, 0, 1, 1, 1, 1, 1
1.498788000000000, 1, 1, 0, 1, 1, 1, 1, 1
1.515939250000000, 1, 0, 0, 1, 1, 1, 1, 1
1.516037000000000, 0, 0, 0, 1, 1, 1, 1, 1
1.541282750000000, 0, 1, 0, 1, 1, 1, 1, 1
1.541458000000000, 1, 1, 0, 1, 1, 1, 1, 1
1.555501000000000, 1, 0, 0, 1, 1, 1, 1, 1
1.555690750000000, 0, 0, 0, 1, 1, 1, 1, 1
1.566568250000000, 0, 0, 1, 1, 1, 1, 1, 1
1.575998500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.576291750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.588078000000000, 1, 0, 1, 1, 1, 1, 1, 1
1.588200500000000, 0, 0, 1, 1, 1, 1, 1, 1
1.605666750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.605841000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.616217750000000, 1, 0, 1, 1, 1, 1, 1, 1
1.616313750000000, 0, 0, 1, 1, 1, 1, 1, 1
1.624607500000000, 0, 0, 0, 1, 1, 1, 1, 1
1.631964250000000, 0, 1, 0, 1, 1, 1, 1, 1
1.632138250000000, 1, 1, 0, 1, 1, 1, 1, 1
1.641720000000000, 1, 0, 0, 1, 1, 1, 1, 1
1.641815000000000, 0, 0, 0, 1, 1, 1, 1, 1
1.656627500000000, 0, 1, 0, 1, 1, 1, 1, 1
1.656799500000000, 1, 1, 0, 1, 1, 1, 1, 1
1.666047500000000, 1, 0, 0, 1, 1, 1, 1, 1
1.666204250000000, 0, 0, 0, 1, 1, 1, 1, 1
1.673489000000000, 0, 0, 1, 1, 1, 1, 1, 1
1.680730000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.680904750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.690186750000000, 1, 0, 1, 1, 1, 1, 1, 1
1.690285250000000, 0, 0, 1, 1, 1, 1, 1, 1
1.704971000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.705145750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.714502000000000, 1, 0, 1, 1, 1, 1, 1, 1
1.714594500000000, 0, 0, 1, 1, 1, 1, 1, 1
1.722156500000000, 0, 0, 0, 1, 1, 1, 1, 1
1.729441750000000, 0, 1, 0, 1, 1, 1, 1, 1
1.729615000000000, 1, 1, 0, 1, 1, 1, 1, 1
1.739326750000000, 1, 0, 0, 1, 1, 1, 1, 1
1.739419750000000, 0, 0, 0, 1, 1, 1, 1, 1
1.754843750000000, 0, 1, 0, 1, 1, 1, 1, 1
1.755016250000000, 1, 1, 0, 1, 1, 1, 1, 1
1.765175750000000, 1, 0, 0, 1, 1, 1, 1, 1
1.765273000000000, 0, 0, 0, 1, 1, 1, 1, 1
1.765283750000000, 0, 0, 1, 1, 1, 1, 1, 1
1.765284000000000, 0, 0, 0, 1, 1, 1, 1, 1
1.773409000000000, 0, 0, 1, 1, 1, 1, 1, 1
1.781539250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.781793500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.792410250000000, 1, 0, 1, 1, 1, 1, 1, 1
1.792510250000000, 0, 0, 1, 1, 1, 1, 1, 1
1.809587250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.809847000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.820765250000000, 1, 0, 1, 1, 1, 1, 1, 1
1.820863750000000, 0, 0, 1, 1, 1, 1, 1, 1
1.829760500000000, 0, 0, 0, 1, 1, 1, 1, 1
1.838346250000000, 0, 1, 0, 1, 1, 1, 1, 1
1.843544500000000, 1, 1, 0, 1, 1, 1, 1, 1
1.848797000000000, 0, 1, 0, 1, 1, 1, 1, 1
1.849929750000000, 0, 0, 0, 1, 1, 1, 1, 1
1.868481750000000, 0, 1, 0, 1, 1, 1, 1, 1
1.873449750000000, 1, 1, 0, 1, 1, 1, 1, 1
1.878574500000000, 0, 1, 0, 1, 1, 1, 1, 1
1.880742750000000, 0, 0, 0, 1, 1, 1, 1, 1
1.890764250000000, 0, 0, 1, 1, 1, 1, 1, 1
1.900625500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.907375500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.912084000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.913712000000000, 0, 0, 1, 1, 1, 1, 1, 1
1.934973500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.942249000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.946873750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.949033500000000, 0, 0, 1, 1, 1, 1, 1, 1
1.960699500000000, 0, 0, 0, 1, 1, 1, 1, 1
1.971548750000000, 0, 1, 0, 1, 1, 1, 1, 1
1.980387000000000, 1, 1, 0, 1, 1, 1, 1, 1
